Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
Elysia -True Me- Metal Necklace - Honkai Impact 3,Sold Out,390000,113,Elysia,Honkai Impact 3rd,Merchandise - Apparel,Mihoyo
Premium Chokonose Figure Yor Forger - Spy x Family (13cm),Ready Stock,300000,113,Yor Forger,SPY x FAMILY,Prize Figure,SEGA
Nendoroid Itachi Uchiha - Naruto Shippuden (Re-Release),Sold Out,850000,113,Itachi Uchiha,Naruto,Nendoroid,Good Smile Company
Shueisha Jump Haikyuu!! Complete Illustration Book Owari to Hajimari / The End and the Beginning - Haruichi Furudate,Sold Out,980000,113,Shoyo Hinata,Haikyuu!!,Artbook,Shueisha
Nendoroid Maple - Bofuri,Ready Stock,780000,114,Maple,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,Nendoroid,KADOKAWA
PVC Figure Hatsune Miku - Aqua Float Girls Ver. Vocaloid (15cm),Ready Stock,350000,113,Hatsune Miku,Vocaloid,Prize Figure,Taito
"PVC Figure 1/8 Sinon [Sun Goddess, Solus]",Ready Stock,3450000,113,Sinon,Sword Art Online,Scaled Figure,Genco
Nendoroid Monika - Doki Doki Literature Club,Ready Stock,740000,113,Monika,Doki Doki Literature Club,Nendoroid,Good Smile Company
PVC Figure 1/7 Yae Sakura - Dream Raiment Ver.,Ready Stock,3250000,113,Yae Sakura,Honkai Impact 3rd,Scaled Figure,APEX
[Limited Production] Nendoroid Houshou Marine - hololive production (Re-release),Ready Stock,720000,112,Houshou Marine,hololive production,Nendoroid,Good Smile Company
Premium Chokonose Figure Nishikigi Chisato - Lycoris Recoil LycoReco (15cm),Ready Stock,320000,112,Nishikigi Chisato,Lycoris Recoil,Prize Figure,SEGA
Nendoroid Hanako / Hanako-kun - Jibaku Shonen Hanako-kun,Sold Out,980000,112,Hanako-kun,Jibaku Shonen Hanako-kun,Nendoroid,Orange Rouge
PVC Figure 1/7 Prinz Eugen - Azur Lane,Late Pre-Order,5970000,112,Prinz Eugen,Azur Lane,Scaled Figure,ALTER
Nendoroid Shoyo Hinata - Haikyuu!!,Sold Out,1450000,112,Shoyo Hinata,Haikyuu!!,Nendoroid,Orange Rouge
Klee / Jumpy Dumpty Cushion (36x42cm) - Genshin Impact,Ready Stock,890000,112,Klee,Genshin Impact,Merchandise - Cushion,Mihoyo
Super Premium Figure Gojo Satoru - Gekijouban Jujutsu Kaisen 0 (20cm),Sold Out,320000,112,Gojo Satoru,Jujutsu Kaisen,Prize Figure,SEGA
Nendoroid Roxy Migurdia - Mushoku Tensei : Jobless Reincarnation,Ready Stock,730000,112,Roxy Migurdia,Mushoku Tensei,Nendoroid,Good Smile Company
Pop Up Parade Figure Minato Aqua - hololive production,Ready Stock,620000,112,Minato Aqua,hololive production,Pop Up Parade,Good Smile Company
Artist Master Piece Figure Albedo - Black Dress Ver. Overlord (20cm),Ready Stock,380000,112,Albedo,Overlord,Prize Figure,Taito
Kaedehara Kazuha Character Theme Series Mousepad - Genshin Impact (70x40cm),Ready Stock,280000,112,Kazuha,Genshin Impact,Merchandise - Mouse Pad,Mihoyo
Haxxor Bunny Rabbit Theme Sling Bag - Honkai Impact 3rd,Ready Stock,580000,112,Bronya Zaychik,Honkai Impact 3rd,Merchandise - Bag,Mihoyo
[Limited Production] Nendoroid Noé / Noe Archiviste - Vanitas no Carte,Ready Stock,990000,111,Noe Archiviste,Vanitas no Carte,Nendoroid,Orange Rouge
