Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
Haruichi Furudate Jump Comics Haikyu!! Final Guidebook: Haikyu Kiwami,Ready Stock,280000,99,Shoyo Hinata,Haikyuu!!,Japanese Manga,Haruichi Furudate
[REVIVE] Nendoroid Lancer / Ereshkigal - Fate/Grand Order (Re-Release),Late Pre-Order,850000,99,Ereshkigal,Fate,Nendoroid,Good Smile Company
Premium Chokonose Figure Loid Forger - Spy x Family (13cm),Ready Stock,300000,99,Loid Forger,SPY x FAMILY,Prize Figure,SEGA
Figuarts Mini Anya Forger - SPY x FAMILY (9cm),Ready Stock,550000,99,Anya Forger,SPY x FAMILY,Figuarts Mini,Bandai Spirits
PVC Figure Albedo - Aqua Float Girls Ver. (10cm),Ready Stock,350000,98,Albedo,Overlord,Prize Figure,Taito
Pop Up Parade Figure Yuji Itadori - Jujutsu Kaisen,Ready Stock,520000,98,Yuji Itadori,Jujutsu Kaisen,Pop Up Parade,Good Smile Company
Nendoroid Geto Suguru - High School Ver. Jujutsu Kaisen,Late Pre-Order,640000,98,Geto Suguru,Jujutsu Kaisen,Nendoroid,Good Smile Company
[REVIVE] PVC Figure 1/7 Elaina - Summer One-piece Dress Ver.,Sold Out,2980000,97,Elaina,Majo no Tabitabi,Scaled Figure,F:NEX
Pop Up Parade Figure Eren Yeager - Shingeki no Kyojin,Ready Stock,480000,97,Eren Yeager,Shingeki no Kyojin,Pop Up Parade,Good Smile Company
BiCute Bunnies Figure Hatsune Miku (31cm),Ready Stock,420000,97,Hatsune Miku,Vocaloid,Prize Figure,FuRyu
[REVIVE] PVC Figure 1/7 Formidable - Azur Lane,Late Pre-Order,5250000,97,Formidable,Azur Lane,Scaled Figure,ALTER
Kyunties Figure Nakano Itsuki - Gotoubun no Hanayome (18cm),Ready Stock,270000,97,Nakano Itsuki,Gotoubun no Hanayome,Prize Figure,Bandai Spirits
[with Bonus Shikishi] PVC Figure 1/7 Mask Shoujo Yuna Illustration by Biya,Late Pre-Order,2250000,97,Yuna,Original Character,Scaled Figure,maxcute
PVC Figure 1/7 Sakura Matou - Makiri no Hai Fate / stay Night Heaven's Feel ~ II. Lost Butterfly,Ready Stock,4250000,97,Sakura Matou,Fate,Scaled Figure,ANIPLEX+
Artist Master Piece Figure Sakurajima Mai - Bunny Girl Ver. (15cm),Ready Stock,380000,97,Sakurajima Mai,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Prize Figure,Taito
[Exclusive Sale] Nendoroid Mikasa Ackerman - The Final Season Ver.,Ready Stock,920000,97,Mikasa Ackerman,Shingeki no Kyojin,Nendoroid,Good Smile Company
PVC Figure 1/8 Rengoku Kyojuro - Kimetsu no Yaiba,Ready Stock,2450000,96,Rengoku Kyoujuro,Kimetsu no Yaiba,Scaled Figure,ANIPLEX+
Noodle Stopper Figure Amiya - Arknights (13cm),Ready Stock,420000,96,Amiya,Arknights,Prize Figure,FuRyu
[Cast Off] PVC Figure 1/6 Fumina Murasaki Illustration by Yom - Yomu Tights,Ready Stock,3450000,96,Fumina Murasaki,Original Character,Scaled Figure,Native
Pop Up Parade Figure Kotegawa Yui - To Love-Ru Darkness,Ready Stock,480000,96,Kotegawa Yui,To LOVE-Ru Darkness,Pop Up Parade,Good Smile Company
Noodle Stopper Figure Lappland - Energy Link Ver. Arknights (14cm),Ready Stock,480000,96,Lappland,Arknights,Prize Figure,FuRyu
Coreful Figure Echidna - Bunny Ver. Re:Zero kara Hajimeru Isekai Seikatsu (20cm),Sold Out,360000,96,Echidna,Re:Zero Kara Hajimeru Isekai Seikatsu,Prize Figure,Taito
Nendoroid Kal'tsit - Arknights,Ready Stock,1020000,96,Kal'tsit,Arknights,Nendoroid,Good Smile Arts Shanghai
Luminasta Figure Hatsune Miku - Bitter Patissier Ver. (21cm),Ready Stock,300000,96,Hatsune Miku,Vocaloid,Prize Figure,SEGA
[With Bonus Art Paper] PVC Figure 1/7 Belfast - Claddagh Oath Ver.,Ready Stock,3750000,96,Belfast,Azur Lane,Scaled Figure,HOBBY MAX JAPAN
[REVIVE] PVC 1/7 Archer / Ishtar - Fate/Grand Order,Late Pre-Order,4250000,95,Ishtar,Fate,Scaled Figure,ANIPLEX+
Super Premium Figure Gojo Satoru - Kyoshiki Murasaki (18cm),Ready Stock,350000,95,Gojo Satoru,Jujutsu Kaisen,Prize Figure,SEGA
[REVIVE] PVC Figure 1/7 Okkotsu Yuta & Ka Ju-Onryo Orimoto Rika - Jujutsu Kaisen,Late Pre-Order,8450000,95,Okkotsu Yuta,Jujutsu Kaisen,Scaled Figure,F:NEX
[REVIVE] PVC Figure 1/8 Kocho Shinobu - Kimetsu no Yaiba,Late Pre-Order,2700000,95,Kocho Shinobu,Kimetsu no Yaiba,Scaled Figure,ALTER
Nendoroid Lancer / Altria Pendragon & Dun Stallion,Sold Out,940000,95,Altria Pendragon,Fate,Nendoroid,Good Smile Company
Pop Up Parade Figure Chuya Nakahara - Bungo Stray Dogs,Sold Out,550000,95,Chuya Nakahara,Bungo Stray Dogs,Pop Up Parade,Orange Rouge
[REVIVE] FZO Figuarts Zero Ryomen Sukuna - Jujutsu Kaisen (13cm),Sold Out,1050000,95,Ryomen Sukuna,Jujutsu Kaisen,FZO,Bandai Spirits
PVC Figure 1/8 Rita Rosseweisse - Artemis Knight Cheongsam Dress Ver. Honkai Impact 3rd,Sold Out,2650000,95,Rita Rosseweisse,Honkai Impact 3,Scaled Figure,APEX
Childe / Tartaglia Whale Key Chain Plush (15cm) - Genshin Impact,Ready Stock,160000,95,Childe,Genshin Impact,Merchandise - Plush,Mihoyo
Coreful Figure Izumi Sagiri - Hoodie Ver. (20cm),Ready Stock,350000,94,Izumi Sagiri,Eromanga Sensei,Prize Figure,Taito
[Limited Production] Nendoroid Ookami Mio - hololive production,Ready Stock,680000,94,Ookami Mio,hololive production,Nendoroid,Good Smile Company
Nendoroid Soma Kyo - Fruits Basket,Ready Stock,850000,94,Soma Kyo,Fruits Basket,Nendoroid,toytec
PVC Figure Boa Hancock - Grandline Journey (16cm),Sold Out,380000,94,Boa Hancock,One Piece,Prize Figure,Bandai Spirits
Elysia Herrscher of Human: Ego Series Shoulder Bag - Honkai Impact 3rd,Ready Stock,680000,94,Elysia,Honkai Impact 3rd,Merchandise - Apparel,Mihoyo
PVC Figure YoRHa No. 2 Type B 2B DX Ver. (34cm) (Re-Release),Ready Stock,3450000,94,2B,NieR,Scaled Figure,Square Enix
Premium Chokonose Figure Anya Forger & Bond Forger - SPY x FAMILY,Ready Stock,320000,94,Anya Forger,SPY x FAMILY,Prize Figure,SEGA
[Exclusive Sale] PVC Figure 1/7 Utaha Kasumigaoka,Ready Stock,3350000,94,Utaha Kasumigaoka,Saenai Heroine no Sodatekata,Scaled Figure,Max Factory
[JAPVER] DXF Figure Nico Robin - The Grandline Lady Vol. 6 (17cm),Sold Out,360000,94,Nico Robin,One Piece,Prize Figure,Bandai Spirits
PVC Figure 1/7 CAworks Eris Boreas Greyrat - Swimsuit Ver.,Ready Stock,2450000,94,Eris Boreas Greyrat,Mushoku Tensei,Scaled Figure,KADOKAWA
[REVIVE] Arknights Originium Night Lamp / Storm Glass (11cmx9cm),Late Pre-Order,820000,94,Amiya,Arknights,Merchandise - Stationery,Arknights
LookUp / Rukappu Figure Nanami Kento - Jujutsu Kaisen,Ready Stock,520000,94,Nanami Kento,Jujutsu Kaisen,Lookup,MegaHouse
Nendoroid Baymax - Big Hero 6,Ready Stock,820000,93,Baymax,Big Hero 6,Nendoroid,Good Smile Company
LookUp / Rukappu Figure Muichiro Tokito (11cm),Sold Out,640000,93,Muichiro Tokito,Kimetsu no Yaiba,Scaled Figure,MegaHouse
Nendoroid Doll Ciel Phantomhive - Black Butler / Kuroshitsuji,Ready Stock,980000,93,Ciel Phantomhive,Black Butler,Nendoroid Doll,Orange Rouge
[Limited Production] Nendoroid Kuromi - Onegai My Melody,Sold Out,620000,93,Kuromi,Onegai My Melody,Nendoroid,Good Smile Company
Nendoroid Hyuga Hinata - Naruto (Re-Release),Ready Stock,580000,93,Hyuga Hinata,Naruto,Nendoroid,Good Smile Company
PVC Figure Elaina - Aqua Float Girls Ver. (15cm),Ready Stock,350000,93,Elaina,Majo no Tabitabi,Prize Figure,Taito
Premium Figure Utaha Kasumigaoka (20cm),Ready Stock,380000,93,Utaha Kasumigaoka,Saenai Heroine no Sodatekata,Prize Figure,SEGA
Shibuya Scramble Figure 1/7 Yukinoshita Yukino & Yuigahama Yui - Ending Ver.,Ready Stock,5950000,93,Yukinoshita Yukino,Yahari Ore no Seishun Love Comedy wa Machigatteiru,Scaled Figure,eStream
Nendoroid Natsuiro Matsuri - hololive production,Ready Stock,730000,93,Natsuiro Matsuri,Hololive,Nendoroid,Good Smile Company
Premium Figure Amano Erika - Kakkou no Iinazuke (21cm),Ready Stock,320000,93,Amano Erika,Kakkou no Iinazuke,Prize Figure,SEGA
Coreful Figure Kurumi Tokisaki - China Swimsuit Ver. (20cm),Ready Stock,350000,93,Kurumi Tokisaki,Date A Live,Prize Figure,Taito
"PVC Figure Ogiwara Sayu - Higehiro / KujangSikut (16,5cm)",Ready Stock,2050000,93,Ogiwara Sayu,_x000D_ Hige wo Soru. Soshite Joshikousei wo Hirou.,Scaled Figure,Good Smile Company
[REVIVE] PVC Figure Chizuru Mizuhara - China Dress Ver. (24cm),Late Pre-Order,2050000,92,Chizuru Mizuhara,Kanojo Okarishimasu,Scaled Figure,Union Creative
[Limited Production] Nendoroid Doll Nezuko Kamado - Kimetsu no Yaiba,Sold Out,950000,92,Nezuko Kamado,Kimetsu no Yaiba,Nendoroid Doll,Good Smile Company
Pop Up Parade Figure Emilia - Memory Snow Ver.,Ready Stock,530000,92,Emilia,Re:Zero Kara Hajimeru Isekai Seikatsu,Pop Up Parade,Good Smile Company
Pop Up Parade Figure Hatsune Miku - YYB Type Ver.,Sold Out,490000,92,Hatsune Miku,Vocaloid,Pop Up Parade,Good Smile Company
Nendoroid Watson Amelia - hololive production,Late Pre-Order,680000,92,Amelia Watson,hololive production,Nendoroid,Good Smile Company
PVC Figure 1/7 Sirius Blue - Waves and Clouds Ver.,Ready Stock,3950000,92,Sirius Blue,Azur Lane,Scaled Figure,ALTER
[REVIVE] PVC Figure 1/7 Albedo - Wing Ver.,Late Pre-Order,3750000,92,Albedo,Overlord,Scaled Figure,KADOKAWA
PVC Figure 1/7 Minato Aqua - AQUA IRO SUPER DREAM Ver.,Ready Stock,3450000,92,Minato Aqua,hololive production,Scaled Figure,Good Smile Company
DXF Figure Uta - One Piece Film RED The Grandline Lady Vol. 1,Ready Stock,380000,92,Uta,One Piece,Prize Figure,Bandai Spirits
[Set Of 3] Nendoroid Easel Stand (Re-Release),Ready Stock,180000,92,Nendoroid,Nendoroid,Nendoroid,Good Smile Company
Nendoroid Oikawa Toru,Sold Out,550000,92,Oikawa Toru,Haikyuu!!,Nendoroid,Good Smile Company
figma Megumin - KonoSuba (Re-release),Late Pre-Order,960000,92,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,figma,Max Factory
[Cast Off] PVC Figure 1/6 Iris Inoue Illustration by AliosArvin,Late Pre-Order,3650000,92,Iris Inoue,Original Character,Scaled Figure,Vibrastar
PVC Figure Meguru Bachira - Blue Lock (18cm),Ready Stock,380000,92,Meguru Bachira,Blue Lock,Prize Figure,Bandai Spirits
[FLASH PO] [With Limited Serial Code] Nendoroid Libra / Artem Wing - Tears of Themis,Late Pre-Order,650000,92,Tears of Themis,Nendoroid,Good Smile Company,
Nendoroid Soraru - After the Rain,Ready Stock,660000,91,Soharu,Soharu,Nendoroid,Good Smile Company
PVC Figure 1/7 Saber / Katsushika Hokusai - Fate/Grand Order,Ready Stock,3550000,91,Katsushika Hokusai,Fate,Scaled Figure,Good Smile Company
Nendoroid Shoto - Shoto,Late Pre-Order,690000,91,Shoto,Shoto,Nendoroid,Good Smile Arts Shanghai
[Cast Off] PVC Figure 1/6 Nana illustration by Takei Ooki,Ready Stock,3250000,91,Nana,Original Character,Scaled Figure,Progress
Nendoroid Tsukasa Yuzaki - Tonikaku Kawaii,Ready Stock,680000,91,Tsukasa Yuzaki,Tonikaku Kawaii,Nendoroid,Good Smile Company
Zhongli / Morax Mini Figure Battlefield Heroes Series Vol.2 (8cm) - Genshin Impact,Sold Out,390000,91,Zhongli,Genshin Impact,Mini Figure,Mihoyo
Mobius Infinite Ouroboros Theme Shoulder Bag - Honkai Impact 3rd,Ready Stock,750000,91,Mobius,Honkai Impact 3rd,Merchandise - Bag,Mihoyo
[Limited Production] figma Houshou Marine - hololive production,Ready Stock,1220000,91,Houshou Marine,hololive production,figma,Max Factory
Omanjuu Yae Miko Teyvat Zoo Theme Series - Genshin Impact,Ready Stock,250000,91,Yae Miko,Genshin Impact,Merchandise - Plush,Mihoyo
Nendoroid Surtr - Arknights,Ready Stock,880000,91,Surtr,Arknights,Nendoroid,Good Smile Arts Shanghai
PVC Figure 1/7 Black Rock Shooter - inexhaustible Ver.,Ready Stock,3050000,91,Black Rock Shooter,Black Rock Shooter,Scaled Figure,Good Smile Company
[FANZA Exclusive] [Cast Off] PVC Figure 1/4 Mizuki - Bunny Ver. BunnyStein Fantasy,Ready Stock,4850000,91,Mizuki,BunnyStein Fantasy,Scaled Figure,BINDing
Wonderland Figure Hatsune Miku - Thumbelina Ver. (15cm),Sold Out,350000,91,Hatsune Miku,Vocaloid,Prize Figure,Taito
PVC 1/7 Megumi Kato - Swimsuit Ver.,Sold Out,1800000,90,Megumi Kato,Saenai Heroine no Sodatekata,Scaled Figure,Good Smile Company
Nendoroid Hina Amano - Tenki no Ko,Ready Stock,750000,90,Hina Amano,Tenki no Ko,Nendoroid,Good Smile Company
Nendoroid Primal Demon Diablo - Tensura,Ready Stock,840000,90,Diablo,Tensei Shitara Slime Datta ken,Nendoroid,Good Smile Company
[REVIVE] PVC Figure 1/7 Saber / Altria Pendragon [Alter] - Dress Ver.,Late Pre-Order,2950000,90,Altria Pendragon,Fate,Scaled Figure,ALTER
[REVIVE] Nendoroid Lappland - Arknights,Late Pre-Order,920000,90,Lappland,Arknights,Nendoroid,Good Smile Arts Shanghai
Nendoroid Doll Sebastian Michaelis - Black Butler / Kuroshitsuji,Sold Out,980000,90,Sebastian Michaelis,Black Butler,Nendoroid Doll,Orange Rouge
Mechanical Keyboard Herrscher of Reason Model TTC Gold Pink Shaft - Honkai Impact 3rd,Sold Out,2750000,90,Bronya Zaychik,Honkai Impact 3rd,Merchandise - Stationery,Mihoyo
"[REVIVE] [Set of 5] Onemutan Nagi, Rin, Bachira, Isagi, Chigiri, Blue Lock",Sold Out,410000,90,Isagi Yoichi,Blue Lock,Mini Figure,Stand Stones
PVC Figure Sakura Miku 2021 Ver. Vocaloid (18cm),Ready Stock,350000,90,Hatsune MIku,Vocaloid,Prize Figure,Taito
BiCute Bunnies Figure Hatsune Miku - White Bunny Ver. (30cm),Ready Stock,420000,90,Hatsune Miku,Vocaloid,Prize Figure,FuRyu
Nendoroid Kokkoro / Kokoro - Princess Connect! Re:Dive,Ready Stock,770000,90,Kokkoro,Princess Connect!,Nendoroid,Good Smile Company
Nendoroid Tsukishima Kei - Haikyuu!! (Re-Release),Ready Stock,600000,90,Tsukishima Kei,Haikyuu!!,Nendoroid,Orange Rouge
Precious Figure Rem - T-shirt Swimsuit Ver.,Sold Out,400000,90,Rem,Re:Zero Kara Hajimeru Isekai Seikatsu,Prize Figure,Taito
[REVIVE] PVC Figure 1/8 Kyoko Kirigiri (Re-Release),Late Pre-Order,3000000,90,Koyko Kirigiri,Danganronpa,Scaled Figure,Phat!
[Exclusive Sale] Nendoroid Levi Ackerman - The Final Season Ver.,Ready Stock,1050000,90,Levi Ackerman,Shingeki no Kyojin,Nendoroid,Good Smile Company
Nendoroid Ritsuka Uenoyama - Given,Ready Stock,700000,90,Ritsuka Uenoyama,Given,Nendoroid,Orange Rouge
[Limited Production] figma Uruha Rushia - hololive production,Ready Stock,1090000,89,Uruha Rushia,hololive production,figma,Max Factory
[With Bonus Shikishi] PVC Figure 1/7 Klee - Spark Knight Ver.,Ready Stock,3250000,89,Klee,Genshin Impact,Scaled Figure,APEX
[REVIVE] [Limited Production] figma Gojo Satoru - Jujutsu Kaisen,Late Pre-Order,950000,89,Gojo Satoru,Jujutsu Kaisen,figma,Good Smile Company
Fushiguro Megumi Onemutan Jujutsu Kaisen,Ready Stock,90000,89,Fushiguro Megumi,Jujutsu Kaisen,Mini Figure,Stand Stones
Diluc Mini Figure Battlefield Heroes Series (8cm) - Genshin Impact,Ready Stock,260000,89,Diluc,Genshin Impact,Merchandise - Mini Figure,Mihoyo
[with Genshin Shop Bonus] Nendoroid Traveler / Lumine - Genshin Impact,Sold Out,1440000,89,Lumine,Genshin Impact,Nendoroid,Good Smile Arts Shanghai Limited
PVC Lancer / Scathach - Fate/Grand Order (19cm),Sold Out,450000,89,Scathach,Fate,Prize Figure,FuRyu
Premium Figure Megumi Kato (20cm),Ready Stock,450000,89,Megumi Kato,Saenai Heroine no Sodatekata,Prize Figure,SEGA
Coreful Figure Sakurajima Mai - Bunny Ver. (20cm),Sold Out,450000,89,Sakurajima Mai,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Prize Figure,Taito
PVC Figure Vibration Stars Uzui Tengen - Kimetsu no Yaiba (15cm),Ready Stock,390000,89,Uzui Tengen,Kimetsu no Yaiba,Prize Figure,Bandai Spirits
Kaedehara Kazuha Metal Key Chain - Genshin Impact (6.8cm),Ready Stock,180000,89,Kaedehara Kazuha,Genshin Impact,Merchandise - Key Chain,Mihoyo
Otherworlder Plus Figure Rimuru Tempest - Tensei Shittara Slime Datta Ken Ver.2 (20cm),Ready Stock,350000,89,Rimuru Tempest,Tensei Shittara Slime Datta Ken,Prize Figure,Bandai Spirits
PVC 1/12 Rias Gremory - Swimsuit Ver. Highschool DxD,Sold Out,550000,88,Rias Gremory,High School DxD,Scaled Figure,FREEing
Nendoroid Shiro - No Game No Life (Re-Release),Ready Stock,720000,88,Shiro,No Game No Life,Nendoroid,Good Smile Company
PVC Figure 1/7 Nagi Seishiro - Blue Lock,Sold Out,3250000,88,Nagi Seishiro,Blue Lock,Scaled Figure,F:NEX
Nendoroid Kurapika - HUNTER x HUNTER,Ready Stock,700000,88,Kurapika,Hunter X Hunter,Nendoroid,Good Smile Company
PVC Figure 1/7 Asuka Langley - Radio Eva Ver. Part.2,Sold Out,3250000,88,Asuka Langley,Evangelion,Scaled Figure,HOBBY MAX
Noodle Stopper Figure Anya Forger - SPY x FAMILY (10cm),Ready Stock,420000,88,Anya Forger,SPY x FAMILY,Prize Figure,FuRyu
Sayu Racoon Design Hoodie Travel Pillow Set - Genshin Impact,Ready Stock,650000,88,Sayu,Genshin Impact,Merchandise - Stationery,Mihoyo
Nendoroid Avenger / Jeanne d'Arc (Alter),Ready Stock,1250000,88,Jeanne d' Arc Alter,Fate,Nendoroid,Good Smile Company
"Hu Tao Liyue Theme Series 15,5cm Acrylic Ornament Stand - Genshin Impact",Ready Stock,240000,88,Hu Tao,Genshin Impact,Merchandise - Acrylic,Mihoyo
Ichiban Kuji Figure Rimuru Tempest - Maou Kakusei-hen B Prize (18cm),Ready Stock,880000,87,Rimuru Tempest,Tensei Shitara Slime Datta ken,Prize Figure,Ichiban Kuji
[Cast Off] PVC Figure 1/6 Mousou Himegoto Shoujo 2 / The Girl's Secret Delusion #2 Illustration by Amamitsuki,Ready Stock,4250000,87,Mousou Himegoto Shoujo,Original Character,Scaled Figure,Magicbullet(s)
[With Bonus Face] ARCTECH Action Figure 1/8 Yae Sakura - Goushinsou Memento Ver.,Ready Stock,1950000,87,Yae Sakura,Honkai Impact 3rd,Action Figure,APEX
[Taito Crane Limited] Coreful Figure Kasugano Sora - Yosuga no Sora (18cm),Ready Stock,480000,87,Kasugano Sora,Yosuga no Sora,Prize Figure,Taito
figma Lancer / Altria Pendragon - Fate/Grand Order,Ready Stock,1200000,87,Altria Pendragon,Fate,figma,Max Factory
Noodle Stopper Figure Sakura Miku - Sakura Miku 2023 Ver. (14cm),Sold Out,360000,87,Hatsune Miku,Vocaloid,Prize Figure,FuRyu
PVC Figure Seishiro Nagi - Blue Lock (15cm),Sold Out,320000,87,Seishiro Nagi,Blue Lock,Prize Figure,Bandai Spirits
Premium Figure Minato Yukina - School Days Ver. (21cm),Ready Stock,400000,87,Minato Yukina,BanG Dream!,Prize Figure,SEGA
Espresto Figure Kirito - Kuro no Kenshi Ver. EST-EXTRA Motions (23cm),Sold Out,550000,87,Kirito,Sword Art Online,Prize Figure,Banpresto
Shibuya Scramble Figure 1/7 Denji - Chainsaw Man,Late Pre-Order,5950000,87,Denji,Chainsaw Man,Scaled Figure,eStream
Pop Up Parade Figure Oozora Subaru - hololive production,Ready Stock,640000,87,Oozora Subaru,Hololive,Pop Up Parade,Max Factory
Nendoroid Shiina Mahiru - Otonari no Tenshi-sama,Ready Stock,760000,87,Mahiru Shiina,Otonari no Tenshi-sama,Nendoroid,Good Smile Company
Pop Up Parade Figure Hoshino Ai - Oshi no Ko,Late Pre-Order,520000,87,Hoshino Ai,Oshi no Ko,Pop Up Parade,Good Smile Company
Nendoroid Seijuro Akashi,Sold Out,640000,86,Seijuro Akashi,Kuroko no Basket,Nendoroid,Orange Rouge
[REVIVE] [Exclusive Sale] PVC Figure 1/7 Foreigner / Katsushika Hokusai - Fate / Grand Order,Late Pre-Order,5950000,86,Katsushika Hokusai,Fate,Scaled Figure,Phat!
Nendoroid Archer / Ishtar - Fate/Grand Order (Re-Release),Sold Out,860000,86,Ishtar,Fate,Nendoroid,Good Smile Company
[Set of 2] Evangelion Gasha Portraits Premium Evangelion Ayanami Rei,Sold Out,310000,86,Ayanami Rei,Evangelion,Mini Figure,Bandai
PVC Figure 1/7 Hayakawa Aki - Chainsaw Man,Late Pre-Order,3050000,86,Hayakawa Aki,Chainsaw Man,Scaled Figure,Myethos
Nendoroid Midoriya Izuku : Hero's Edition,Ready Stock,780000,86,Midoriya Izuku,Boku no Hero Academia,Nendoroid,Good Smile Company
Coreful Figure Yukinoshita Yukino - China Dress Ver. (20cm),Ready Stock,350000,86,Yukinoshita Yukino,Yahari Ore no Seishun Love Comedy wa Machigatteiru,Prize Figure,Taito
[Exclusive Sale] PVC Figure 1/7 Zero Two - For My Darling,Ready Stock,3900000,86,Zero Two,Darling in the FranXX,Scaled Figure,Good Smile Company
Slime Paradise Wind Chime - Genshin Impact,Pre-Order,220000,86,Slime,Genshin Impact,Merchandise - Stationery,Mihoyo
Artist Master Piece Figure Hatsune Miku - Sakura Lantern Ver. (18cm),Ready Stock,350000,86,Hatsune Miku,Vocaloid,Prize Figure,Taito
Venti Metal Bracelet - Genshin Impact,Ready Stock,210000,86,Venti,Genshin Impact,Merchandise - Stationery,Mihoyo
Glitter & Glamours Nico Robin - Wanokuni Style II Ver. A (25cm),Sold Out,270000,86,Nico Robin,One Piece,Prize Figure,Bandai Spirits
[REVIVE] PVC Figure 1/7 Asuna - The Goddess of Creation Stacia,Late Pre-Order,2750000,86,Asuna,Sword Art Online,Scaled Figure,ANIPLEX+
PVC Figure 1/7 Freia - Light Novel Ver.,Ready Stock,3200000,85,Freia,Kaifuku Jutsushi no Yarinaoshi,Scaled Figure,KADOKAWA
[with Genshin Shop Bonus] Nendoroid Traveler / Aether - Genshin Impact,Ready Stock,950000,85,Aether,Genshin Impact,Nendoroid,Good Smile Arts Shanghai Limited
Pop Up Parade Figure Momo Belia Deviluke - To LOVE-Ru Darkness,Ready Stock,520000,85,Momo Belia Deviluke,To Love-Ru,Pop Up Parade,Good Smile Company
Wonderland Figure Cinderella Hatsune Miku - Fairy Tale (20cm),Ready Stock,400000,85,Hatsune Miku,Vocaloid,Prize Figure,Taito
Nendoroid Karma Akabane - Ansatsu Kyoushitsu,Ready Stock,760000,85,Karma Akabane,Ansatsu Kyoushitsu,Nendoroid,Orange Rouge
Espresto est Figure Rimuru Tempest - Tempest Effect and Motions (18cm),Sold Out,520000,85,Rimuru Tempest,Tensei Shitara Slime Datta ken,Prize Figure,Bandai Spirits
Arknights Dragon Gate Backpack Hoshiguma,Sold Out,540000,85,Hoshiguma,Arknights,Merchandise - Backpack,Tomorrow's Ark
PVC Figure 1/7 Elaina - DX Ver. Majo no Tabitabi,Sold Out,3450000,85,Elina,Majo no Tabitabi,Scaled Figure,Bellfine
Super Premium Figure Ayanami Rei - Long Hair Ver. Shin Evangelion Gekijouban (22cm),Ready Stock,280000,85,Ayanami Rei,Evangelion,Prize Figure,SEGA
[Limited Production] Nendoroid Sakura Haruno - Naruto (Re-Release),Ready Stock,580000,85,Sakura Haruno,Naruto,Nendoroid,Good Smile Company
Pop Up Parade Figure Kozume Kenma - Haikyu!! Haikyuu!!,Ready Stock,550000,85,Kozume Kenma,Haikyuu!!,Pop Up Parade,Orange Rouge
Xiao IC Card Case Lanyard - Genshin Impact,Ready Stock,290000,85,Xiao,Genshin Impact,Merchandise - Case,Mihoyo
ARTFX J Figure 1/8 Levi - Renewal Package Ver.,Ready Stock,1950000,85,Levi,Shingeki no Kyojin,Scaled Figure,Kotobukiya
[With Tapestry Bonus] PVC Figure 1/7 Luna Illustration by YD,Ready Stock,2850000,85,Luna,Original Character,Scaled Figure,Astrum Design
PVC Figure 1/7 Kitagawa Marin - Sono Bisque Doll wa Koi wo Suru,Late Pre-Order,1480000,85,Kitagawa Marin,Sono Bisque Doll wa Koi wo Suru,Scaled Figure,Good Smile Company
Todoroki Shoto Figure Colosseum Zoukei Academy (17cm) - My Hero Academia,Ready Stock,350000,84,Todoroki Shoto,Boku no Hero Academia,Prize Figure,Bandai Spirits
[Cast Off] PVC Figure 1/4 Hinano illustration by Amane Ruri,Sold Out,5950000,84,Hinano,Original Character,Scaled Figure,BINDing
Artist Master Piece Figure Hatsune Miku - Alice Ver. (21cm),Sold Out,400000,84,Hatsune Miku,Vocaloid,Prize Figure,Taito
Trails of Comets Original Art Collection Vol. 1 - Honkai Impact 3rd,Ready Stock,580000,84,Kiana Kaslana,Honkai Impact 3rd,Merchandise - Art Book,Mihoyo
Rozaliya / Fervent Tempo Δ AUGMENT CORE Waist Bag - Honkai Impact 3rd,Ready Stock,580000,84,Rozaliya Olenyeva,Honkai Impact 3rd,Merchandise - Bag,Mihoyo
Nendoroid 2B (YoRHa No.2 Type B) - NieR:Automata (Re-Release),Ready Stock,780000,84,2B,NierR : Automata,Nendoroid,Square Enix
Desktop Cute Figure Elaina - Neko Maid Ver. (13cm),Ready Stock,300000,84,Elaina,Majo no Tabitabi,Prize Figure,Taito
[FLASH PO] King Of Artist Figure Monkey D. Luffy Gear 5 Ver. - One Piece (16cm),Late Pre-Order,450000,84,Monkey D. Luffy,One Piece,Prize Figure,Bandai Spirits
Lumine / Traveler Female Capsule Collection Figure Vol. 1 - Genshin Impact,Sold Out,90000,84,Traveler,Genshin Impact,Mini Figure,Bushiroad Creative
[Limited Production] Nendoroid Natsu Dragneel - Fairy Tail Final Season,Ready Stock,780000,84,Natsu Dragneel,FAIRY TAIL,Nendoroid,Max Factory
Pop Up Parade Figure Himiko Toga - Boku no Hero Academia,Ready Stock,510000,84,Himiko Toga,Boku no Hero Academia,Pop Up Parade,Good Smile Company
PVC Figure Mori Calliope Relax Time - Office Style Ver. Hololive If (20cm),Ready Stock,300000,84,Mori Calliope,Hololive,Prize Figure,Bandai Spirits
Pop Up Parade Figure Yuuka Hayase - Mischievous☆Straight Ver.,Late Pre-Order,520000,84,Hayase Yuuka,Blue Archive,Pop Up Parade,Good Smile Company
